artist,danceability,energy_i,loudness,speechiness,acousticness,instrumentalness,liveness,valence_i,tempo,valence_l,arousal,dominance,goodness,energy_l,structure,power,danger,scored_words,genre
Rainbow Kitten Surprise,0.744,0.516,-6.365,0.0513,0.632,0.0,0.605,0.281,97.944,0.0771391591591591,-0.0358038378378378,0.028920075075075,0.0858925765765765,-0.026166057057057,-0.0025489639639639,0.0422329849849849,-0.0792374654654654,333,indie
Ray Parker Jr.,0.788,0.846,-5.017,0.0372,0.0103,0.000281,0.26,0.738,115.636,0.1256036162361623,-0.0660988413284132,0.0112066236162361,0.1237473136531365,-0.0684933616236162,0.016313073800738,0.0390704206642066,-0.135934704797048,271,niche or unknown
Red Hot Chili Peppers,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542,0.0874288977955911,-0.0578177034068136,0.0310193486973947,0.0990776653306613,-0.0448315991983967,-0.0110722705410821,0.0383577114228456,-0.1017592144288577,499,rock
Rex Orange County,0.6245,0.542,-7.2355,0.05235,0.287,8.75e-07,0.224,0.6405000000000001,114.9515,0.1294506766917293,-0.082144947368421,0.0202840977443609,0.1338361045112782,-0.0774247330827067,0.0031553740601503,0.0398888691729323,-0.1493839616541353,323,pop
Rick James,0.838,0.794,-8.245,0.0531,0.22,0.0,0.0575,0.962,132.446,0.1124004545454545,-0.0737614545454545,0.0112995454545454,0.113532971590909,-0.0726590113636363,0.0057602329545454,0.0289022556818181,-0.1316575795454545,176,niche or unknown
Rihanna,0.707,0.813,-4.515,0.0571,0.0863,0.0,0.168,0.722,124.921,0.1268941414141414,-0.0821983232323232,0.0483348989898989,0.1451397979797979,-0.0618546565656565,-0.0174161464646464,0.0588913787878787,-0.1463672272727272,198,pop
Roar,0.247,0.438,-8.478,0.0358,0.0447,0.000867,0.111,0.39,185.711,0.0530455737704917,-0.0547802076502732,-0.0101058196721311,0.0491299672131147,-0.0591351366120218,0.0024685136612021,-0.0070746994535519,-0.076554956284153,183,indie
Rockwell,0.755,0.502,-9.2,0.0476,0.0483,0.864,0.141,0.975,124.123,0.1247912449799196,-0.0590382891566265,0.0364152811244979,0.1341267991967871,-0.0488730080321285,0.0024099959839357,0.0602835261044176,-0.1294004297188755,249,niche or unknown
Rod Wave,0.6355,0.5205,-10.6905,0.07055,0.0462,1.795e-05,0.1128,0.384,164.0075,0.12732375,-0.0747785,0.0206371874999999,0.131068990625,-0.0708164697916666,0.005909915625,0.0426049557291666,-0.1427546145833333,352,hip hop
Roddy Ricch,0.7576,0.5609999999999999,-8.141200000000001,0.261,0.058914,1.1158e-05,0.1452,0.4333999999999999,131.4932,0.1084599865427079,-0.0700348873327557,0.0274892620190636,0.1173669252111783,-0.0601794708099145,-0.0052435863122067,0.0404376109156785,-0.1255442330953427,929,hip hop
